ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"92.222.237.95","elite","AS16276","FR","OVH SAS","6","LCC LCC","8898","socks4","4587","1","2023-08-15T10:35:54.815Z","100","3416","3416"
"110.11.37.83","elite","AS9318","KR","SK Broadband Co Ltd","300","SK Broadband Co Ltd","1080","socks4","4896","1","2023-08-15T10:35:54.813Z","100","3419","3428"
"85.159.210.237","elite","AS63949","GB","Akamai Technologies, Inc.","10","Linode","37093","socks4","4714","1","2023-08-15T10:35:54.912Z","91","3060","3365"
"118.174.46.147","elite","AS131293","TH","TOT Public Company Limited","163","TOT Public Company Limited","45764","socks4","4600","2","2023-08-15T10:35:54.819Z","97","3320","3406"
"45.251.231.113","elite","AS59362","BD","KS Network","215","Nazmul Karim Bhuiyan","5678","socks4","5109","1","2023-08-15T10:35:54.818Z","99","3401","3432"
"151.238.140.95","elite","AS43395","IR","Pooya Parto Qeshm Cooperative Company","188","Shtl DSL THR","4145","socks4","2904","1","2023-08-15T10:35:54.812Z","97","3214","3305"
"154.113.161.145","elite","AS37282","NG","Mainone Cable Company","197","Mainone Cable Company","5678","socks4","4995","1","2023-08-15T10:35:54.818Z","100","3291","3301"
"202.6.225.92","elite","AS23756","ID","PT Padi Internet","289","N/A","1080","socks5","4403","1","2023-08-15T10:35:51.547Z","79","2618","3329"
"178.154.228.16","elite","AS200350","RU","Yandex Cloud","47","N/A","9050","socks5","1493","1","2023-08-15T10:35:51.537Z","100","3399","3400"
"190.0.22.34","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","148","EPM Telecomunicaciones S.A. E.S.P","61155","socks4","4696","1","2023-08-15T10:35:51.545Z","99","3377","3416"
"211.174.114.225","elite","AS4766","KR","Netropy","283","seoulfnf","4153","socks4","5001","1","2023-08-15T10:35:51.536Z","100","3392","3401"
"103.240.33.177","elite","AS132923","IN","Vihaan Telecommunication Pvt. Ltd.","120","Vihaan","8291","socks4","3110","1","2023-08-15T10:35:51.546Z","99","3399","3436"
"185.32.47.193","elite","AS200154","AZ","Izone LLC","71","BossNet LLC","4153","socks4","4300","1","2023-08-15T10:35:51.534Z","100","3428","3437"
"5.189.129.137","elite","AS51167","DE","Contabo GmbH","17","Contabo GmbH","8080","socks4","3799","2","2023-08-15T10:35:51.639Z","100","3338","3342"
"153.99.224.114","elite","AS4837","CN","CHINA UNICOM China169 Backbone","205","Unicom JS","1080","socks5","4505","1","2023-08-15T10:35:45.548Z","82","2745","3333"
"103.66.233.225","elite","AS134014","IN","NET 4 U SERVICES","189","N/A","4145","socks4","5093","1","2023-08-15T10:35:45.540Z","99","3387","3412"
"65.108.57.128","elite","AS24940","FI","Hetzner Online GmbH","37","Hetzner Online GmbH","10001","socks5","500","1","2023-08-15T10:35:45.543Z","100","3313","3313"
"62.112.8.131","elite","AS49981","NL","WorldStream B.V.","14","Worldstream","30415","socks4","4989","1","2023-08-15T10:35:45.549Z","85","2895","3392"
"125.141.139.110","elite","AS4766","KR","Korea Telecom","227","KORNET","5566","socks5","4801","1","2023-08-15T10:35:42.000Z","80","2728","3403"
"171.5.13.78","elite","AS45629","TH","Triple T Broadband Public Company Limited","175","Triple T Broadband Public Company Limited","4145","socks4","4193","1","2023-08-15T10:35:42.003Z","99","3308","3335"
"104.17.166.210","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc","80","socks4","515","1","2023-08-15T10:35:42.002Z","100","3418","3418"
"218.2.112.243","elite","AS4134","CN","China Telecom","294","Nanjing Forest Police University","80","socks5","1885","84","2023-08-15T10:35:41.998Z","82","2777","3383"
"103.113.152.58","elite","AS45766","BD","Md Ziaul Huque","200","N/A","5678","socks4","910","1","2023-08-15T10:35:41.999Z","98","3341","3394"
"149.202.172.226","elite","AS16276","FR","OVH SAS","6","OVH","8080","socks4","4698","1","2023-08-15T10:35:40.338Z","100","3361","3362"
"58.84.56.19","elite","AS134269","IN","Net Solutions","196","Net Solutions","4153","socks4","4999","1","2023-08-15T10:35:40.237Z","94","3173","3392"
"147.182.228.141","elite","AS14061","US","DigitalOcean, LLC","190","DigitalOcean, LLC","12345","socks5","2807","1","2023-08-15T10:35:34.444Z","93","3145","3393"
"81.12.104.35","elite","AS42337","IR","Respina Networks & Beyond PJSC","124","Respina Networks","3629","socks4","3406","1","2023-08-15T10:35:34.445Z","99","3271","3293"
"201.144.20.231","elite","AS8151","MX","UNINET","196","Gestión de direccionamiento UniNet","5678","socks4","5293","1","2023-08-15T10:35:29.000Z","98","3368","3454"
"62.179.9.19","elite","AS6830","PL","UPC Poland","80","N/A","5678","socks5","4606","1","2023-08-15T10:35:29.098Z","100","3366","3374"
"103.117.108.169","elite","AS137935","BD","I Link Internet Service (I.T)","157","I Link Internet Service (I.T)","4153","socks4","2209","1","2023-08-15T10:35:28.918Z","99","3268","3303"
"102.66.237.29","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","207","Herotel","5678","socks4","2200","82","2023-08-15T10:35:28.751Z","63","2132","3375"
"170.82.231.253","elite","AS266458","BR","Megganet Internet E Informatica Ltda","165","Megganet Internet E Informatica Ltda","4153","socks4","3101","1","2023-08-15T10:35:28.835Z","99","3341","3365"
"46.227.37.37","elite","AS51155","PL","Telemedian - TB Telecom","37","Telemedian","1088","socks4","4483","1","2023-08-15T10:35:28.935Z","99","3382","3399"
"192.95.30.98","elite","AS16276","CA","OVH SAS","87","OVH Hosting, Inc.","63523","socks5","2203","1","2023-08-15T10:35:28.934Z","100","3403","3410"
"212.174.44.22","elite","AS9121","TR","Turk Telekomunikasyon Anonim Sirketi","76","Sonet Internet Erisim Hizmetleri","1080","socks4","4996","1","2023-08-15T10:35:28.937Z","41","1402","3434"
"103.58.75.24","elite","AS134204","BD","BUSINESSNETWORK","211","N/A","5678","socks4","5190","1","2023-08-15T10:35:28.853Z","84","2889","3450"
"34.64.4.97","elite","AS139070","SG","Google Asia Pacific Pte. Ltd.","298","Google LLC","80","socks5","5097","82","2023-08-15T10:35:28.998Z","100","3267","3267"
"165.227.66.216","elite","AS14061","US","DigitalOcean, LLC","82","DigitalOcean, LLC","33636","socks4","3800","1","2023-08-15T10:35:23.135Z","100","3333","3342"
"177.136.182.110","elite","AS263595","BR","ALB Internet & Informatica Ltda - ME","199","ALB Internet & Informatica Ltda - ME","5678","socks4","4808","1","2023-08-15T10:35:23.041Z","100","3387","3403"
"43.153.58.204","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","198","Tencent Cloud Computing","443","socks4","5011","1","2023-08-15T10:35:23.037Z","78","2655","3395"
"177.12.178.249","elite","AS263033","BR","Linxbr Telecomunicacoes Ltda","193","Linkli Telecomunicacoes Ltda","4153","socks4","138","1","2023-08-15T10:35:23.038Z","100","3361","3367"
"103.31.84.122","elite","AS7642","MV","Dhiraagu Pvt.Ltd","188","Dhivehi Raajjeyge Gulhun Plc","1080","socks4","4800","1","2023-08-15T10:35:23.039Z","100","3442","3456"
"103.95.197.233","elite","AS135918","VN","Viet Digital Technology Liability Company","240","DVS","9050","socks5","5091","2","2023-08-15T10:35:22.950Z","97","3259","3356"
"38.127.172.167","elite","AS174","US","Cogent Communications","84","Torlandia Trading SRL","46656","socks4","4504","1","2023-08-15T10:35:17.447Z","100","3339","3344"
"201.103.115.26","elite","AS8151","MX","Uninet S.A. de C.V.","196","UNINET","3128","socks4","4788","1","2023-08-15T10:35:17.346Z","80","2658","3309"
"174.139.46.100","elite","AS4213","US","Krypt Technologies","148","Krypt Technologies","58841","socks4","1109","86","2023-08-15T10:35:17.347Z","76","2547","3364"
"104.129.199.34","elite","AS22616","US","ZSCALER, INC.","153","Zscaler, Inc.","8800","socks4","4397","1","2023-08-15T10:35:17.351Z","97","3283","3381"
"186.226.171.94","elite","AS53180","BR","Infortel Comunicacoes Ltda","190","Infortel Comunicacoes Ltda","1080","socks4","2215","1","2023-08-15T10:35:17.435Z","99","3348","3390"
"202.44.228.79","elite","AS4618","TH","Internet Thailand Company Ltd.","197","Internet Thailand Company Limited","4153","socks4","4795","1","2023-08-15T10:35:17.449Z","27","935","3422"
"114.234.106.166","elite","AS4134","CN","Chinanet","292","Chinanet JS","5678","socks4","4687","1","2023-08-15T10:35:17.344Z","78","2698","3453"
"61.7.183.101","elite","AS131090","TH","CAT Telecom Public Company Limited","194","National Telecom Public Company Limited","4145","socks4","4808","2","2023-08-15T10:35:16.108Z","90","3020","3352"
"182.53.129.70","elite","AS23969","TH","TOT Public Company Limited","190","TOT Public Company Limited","5678","socks4","4717","1","2023-08-15T10:35:16.110Z","41","1412","3438"
"2.139.2.212","elite","AS3352","ES","RIMA (Red IP Multi Acceso)","22","N/A","4145","socks4","3232","2","2023-08-15T10:35:16.106Z","98","3345","3405"
"82.202.196.126","elite","AS50340","RU","OOO \"Network of data-centers \"Selectel\"","48","N/A","9050","socks5","4992","3","2023-08-15T10:35:16.107Z","100","3408","3408"
"38.127.179.124","elite","AS174","US","Cogent Communications","86","Torlandia Trading SRL","15290","socks4","4000","1","2023-08-15T10:35:16.215Z","100","3360","3365"
"95.79.99.159","elite","AS42682","RU","JSC \"ER-Telecom Holding\"","52","JSC \"ER-Telecom Holding\" Nizhny Novgorod","44068","socks4","900","3","2023-08-15T10:35:16.216Z","99","3297","3318"
"172.105.26.80","elite","AS63949","CA","Akamai Technologies","93","Linode","24817","socks4","2006","1","2023-08-15T10:35:16.198Z","97","3238","3334"
